# Relative source path<TAB>classification<TAB>closure task<TAB>owner
src/core/machine/cpu_instructions.c	pending	T88	core/machine
src/vm/machine/debug.c	pending	T88	vm/machine
src/core/product/debug/debug.c	pending	T91	core/product
src/core/product/debug/xasm32/aasm32.c	pending	T91	core/product
src/core/product/debug/xasm32/dasm32.c	pending	T91	core/product
src/vm/platform/win32/w32cdisp.c	pending	T90	vm/platform
src/vm/platform/win32/w32adisp.c	pending	T90	vm/platform
src/vm/platform/win32/win32.c	immutable-candidate	T90	vm/platform
src/vm/platform/linux/linuxcon.c	pending	T90	vm/platform
src/vm/product/console.c	pending	T92	vm/product
src/core/product/wait.c	thread-local	T95	core/product
src/core/product/debug/debug_target.c	thread-local	T95	core/product
